28.47,ISK,"2269 Nunthorpe Circle , West Thurrock, Merionethshire, RM6 7OA",Oklahoma City
4.17,GBP,"2779 Goulder , Kirkby in Ashfield, Tyrone, HX12 3SF",Merced
75.41,RUB,"3506 Brindle Avenue , Haverhill, Kent, WF1 7SO",Alexandria
46.27,LAK,"4717 Delph Road , Leek, Dorset, PH1 5GC",Syracuse
88.92,USD,"7068 Cowling Avenue , Burntwood, Fermanagh, LE7 3TN",Atlantic City
76.4,CAD,"1814 Whinslee , Llandudno Junction, Dorset, OL57 2ID",GreenBay
11.6,USD,"6267 Tydden Circle , Larbert, Northumberland, EC7 3OY",Arvada
9.26,XXX,"7550 Bye , Holt, Staffordshire, LE3 5NT",Jersey City
16.06,USD,"9124 Tottington Avenue , Shanklin, Greater Manchester, CO77 4AG",Burbank
52.34,ISK,"1291 Lady , Sale, Anglesey, S1 3UV",South Bend
99.51,EUR,"8459 Cawthorne , Sawbridgeworth, West Lothian, KW3 0TC",Newark
20.4,DZD,"8272 Gillbrook Circle , Coleraine, Northamptonshire, CA3 2QW",New York City
88.88,RWF,"4815 Longmeade Road , Lynton, Nottinghamshire, DE7 3KS",Santa Maria
83.21,VND,"0066 Blackstone Road , Hessle, Essex, CR7 4CG",West Valley City
98.09,EUR,"0203 Broxton Avenue , Eastington, Moray, WD0 6QE",Costa Mesa
61.36,XCD,"0826 Orphanage Avenue , Edgware, Northamptonshire, CB7 7MQ",Charleston
83.75,XOF,"8972 Rowanside Lane , Chulmleigh, Northamptonshire, HR20 7QT",Atlanta
30.36,IDR,"0752 Burdith Lane , Whitchurch, West Midlands, PH6 0QH",San Bernardino
45.82,CDF,"7660 Summerfield Circle , Sturminster Newton, Cleveland, CV43 9VV",Tuscaloosa
66.44,XCD,"7695 Thornbury Avenue , Penzance, West Midlands, LU90 6QP",Sioux Falls
61.86,EUR,"1368 Grains Road , Hingham, Greater London, LL50 5IC",Davenport
82.07,SLL,"8447 Stonyford Avenue , Haslingden, Fermanagh, DT7 9CP",Normal
25.44,XCD,"4084 Blackberry , Darlaston, Antrim, PE66 7XV",New London
67.06,BSD,"8271 Ralph Street , Dufftown, Leicestershire, ST55 7DY",Hayward
9.44,PLN,"2950 Atherstone Road , Horsham, Oxfordshire, BR76 8IP",Worcester
19.15,KHR,"6723 Sedgley Lane , Great Yarmouth, Fife, WS73 9SK",Tulsa
65.03,GYD,"3447 Cheshire Circle , Coggeshall, Derbyshire, LN0 2EY",Cincinnati
4.55,XAF,"9403 Kirkfell Avenue , Alton, East Ayrshire, TS04 4VK",Duluth
25.12,HNL,"8933 Cumberland Street , St Just, Flintshire, DE80 7AG",Minneapolis
47.14,ZAR,"6808 Warley Road , Windy Nook, Cambridgeshire, ZE4 1ZO",Salt Lake City
11.61,DZD,"1228 Irma Avenue , Castlederg, West Berkshire, HG97 2JZ",Chicago
74.94,SYP,"8408 Bakers Road , Camborne, Suffolk, S38 2WW",Richland
30.23,COP,"7223 Knightsbridge , Cowdenbeath, Dundee City, DL57 9UV",West Covina
85.57,GYD,"1432 Mostyn , Keith, Hertfordshire, SL22 7LN",Charleston
68.94,USD,"7506 Becks , Hungerford, Derry and Londonderry, GL05 2UF",Memphis
12.51,XXX,"5034 Langness Lane , Market Bosworth, West Berkshire, BT9 4KB",Elk Grove
4.47,XCD,"4402 Cunningham Lane , Smethwick, Dumfries and Galloway, CO56 7VL",Appleton
78.25,AUD,"9265 Heapey Circle , Arundel, Carmarthenshire, E35 6WU",Temecula
8.41,UYW,"1188 Dearden Road , Hawes, Northamptonshire, PL96 2ZR",Amarillo
64.27,BOB,"5458 Thorncliff Circle , Narberth, Shropshire, SP0 8MF",Pensacola
7.06,BAM,"5028 Glamis , Collydean, Aberdeenshire, SR58 2ND",Buffalo
19.42,CUC,"9091 Tolworth Avenue , Hatherleigh, Cornwall, LL78 9RR",Macon
42.58,GHS,"2400 Thirsfield , East Retford, West Yorkshire, SR26 0QC",Grayslake
49.55,USD,"1632 Bonar Lane , Rutherglen, West Dunbartonshire, CW11 6YG",Ann Arbor
25.17,TND,"2959 Shropshire Lane , Dronfield, Aberdeen City, TW29 9UN",Fort Walton Beach
35.76,XBB,"4620 Marland , Rickmansworth, North Lanarkshire, PA0 2DF",Winston
22.14,USD,"4056 Lucas Lane , Whitworth, Oxfordshire, S6 2ZY",Sunnyvale
25.2,CUC,"3895 Beaford Street , Patchway, Breconshire, DE24 3NU",Las Cruces
89.69,BWP,"0885 Burdith Road , Lymington, Tyrone, G31 2TP",San Francisco
75.82,NOK,"3693 Heathfields Street , High Wycombe, South Ayrshire, BL2 6NO",Columbia
29.11,KYD,"6385 Waterford Avenue , Gillingham, Dorset, HP6 6YU",Hayward
28.62,EUR,"3711 Silsden Avenue , Withernsea, Cumbria, SP53 2XH",Salem
39.42,USD,"6735 Hogshaw Street , Leven, Aberdeenshire, TW40 6BG",GreenBay
33.57,USD,"7793 Leesway Avenue , Cleethorpes, Shropshire, KT80 7NX",Muskegon
46.59,USD,"1826 Dell Lane , Oldham, Devon, DT3 9RR",Garden Grove
23.74,COP,"1536 Dean Road , Worksop, Argyll and Bute, LS5 1YC",Sarasota
48.88,DOP,"2917 Hollywood Lane , Newent, North Lanarkshire, RM37 4JL",Pompano Beach
3.83,NGN,"8042 Townsend Avenue , Caistor, Dumfries and Galloway, SR8 3OR",Deltona
29.72,CHE,"9021 Barrow Street , Callander, East Ayrshire, SL43 1QP",Pomona
39.97,USD,"6249 Scotland Avenue , Loughton, Moray, CW87 2TX",Tulsa
63.39,SCR,"5041 Pennypleck Avenue , High Wycombe, Merseyside, E44 5DO",Salt Lake City
87.35,EUR,"5834 Tig Road , Crewkerne, Cambridgeshire, W6 6XE",Lubbock
6.72,MXV,"3561 Hall Lane , Bridgwater, East Renfrewshire, KY7 3DR",Anchorage
42.63,XOF,"3800 Camberley Avenue , Corby, Nottinghamshire, L18 1AT",Utica
99.26,EUR,"8052 Great Street , Petworth, Kent, EH69 5MD",Cleveland
33.65,TOP,"4291 Kenstford Circle , Blackford, North Ayrshire, RM87 5OT",Yakima
44.87,AED,"5030 Reuben Circle , Kilbarchan, West Yorkshire, SP1 6XA",Cleveland
54.23,SBD,"5104 Provident Street , Windy Nook, Essex, IV78 1AV",Elizabeth
83.4,MRU,"3078 Greeba Circle , Ffestiniog, Oxfordshire, NR4 7TN",Mesa
